Tỉnh giao,LV-2,Kho Đến,Loại kho
"Bưu Cục Đường 21-Phường 08-Gò Vấp-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 10 Đường số 8-Linh Xuân-Q.Thủ Đức-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 185 Tân Thới Nhất 8-Phường Đông Hưng Thuận-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 147E Đội Cung-Q.11-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 197 Lê Cao Lãng-Phú Thạnh-Tân Phú-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 02 Đường Số 28 - Củ Chi - HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 20/48A Bờ Bao Tân Thắng-Q.Tân Phú-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Số 17 Đường Hoàng Văn Hợp-An Lạc A-Bình Tân-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 125A Lê Lợi-Hóc Môn-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 903B Tạ Quang Bửu-Q.8-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 63 Đường Số 7-Xã Nhà Bè-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Vĩnh Lộc A-Bình Chánh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 248A Nơ Trang Long-Q.Bình Thạnh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 7A/3 Thành Thái-Phường Diên Hồng-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 47/2 Lê Văn Khương-Q.12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 04 Nhất Chi Mai-Q.Tân Bình-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục T30 Nguyễn Hữu Hào-Q.4-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 2999 Phạm Thế Hiển-Q.8-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 374 Xô Viết Nghệ Tĩnh-Q.Bình Thạnh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 291A Nguyễn Duy-Q.8-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 58 Trương Quốc Dung-Q.Phú Nhuận-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 82 Nguyễn Sỹ Sách-Q.Tân Bình-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 119 Đường Số 1-Phường 11-Gò Vấp-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 183 Nguyễn Oanh-Phường 17-Gò Vấp-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 119 Nguyễn Văn Luông-Q.6-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 116A Bà Hom-Phường 13-Quận 6-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 63 Vĩnh Hội-Q.4-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 456 Nguyễn Kiệm-Q.Phú Nhuận-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 107 Đường 3D-Bình Hưng Hòa B-Bình Tân-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 242 Tỉnh Lộ 2-Củ Chi-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 480F Cao Thắng - Trường Sa-Q.3-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 274 Cô Bắc-Q.1-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 27 Nguyễn Xí-Q.Bình Thạnh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Phước Kiển-Nhà Bè-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu cục Xuân Thới Thượng-Hóc Môn-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
